,Record Name,Latinsk navn,Latinsk familienavn,wiki_urls,wiki_info
0,floradanica_0001.tif,Rubus chamaemorus L.,Rosaceae,https://en.wikipedia.org/wiki/Rubus_chamaemorus,"Contents Rubus chamaemorus 
 Rubus chamaemorus is a species of flowering plant in the rose family. Its English common names include cloudberry,[2] Nordic berry, bakeapple (in Newfoundland and Labrador), knotberry and knoutberry (in England), aqpik or low-bush salmonberry (in Alaska – not to be confused with salmonberry, Rubus spectabilis),[3] and averin or evron (in Scotland).[4][5]
 A herbaceous perennial, it produces amber-colored, edible fruit similar to the blackberry. It is native to cool temperate regions, alpine and Arctic tundra, and boreal forest. 
 Description Unlike most Rubus species, the cloudberry is dioecious, and fruit production by a female plant requires pollination from a male plant.[6]
 The cloudberry grows to 10–25 centimetres (4–10 in) high.[6] The leaves alternate between having five and seven soft, handlike lobes on straight, branchless stalks. After pollination, the white (sometimes reddish-tipped) flowers form raspberry-sized aggregate fruits, which are more plentiful in wooded rather than sun-exposed habitats.[6] Consisting of between five and 25 drupelets, each fruit is initially pale red, ripening into an amber color in early autumn.
 Chemistry Cloudberries are rich in vitamin C and ellagic acid,[6] citric acid, malic acid, α-tocopherol, anthocyanins, and the provitamin A carotenoid, β-carotene in contents that differ across regions of Finland due to sunlight exposure, rainfall, or temperature.[7] The ellagitannins lambertianin C and sanguiin H-6 are also present.[8] Genotype of cloudberry variants may also affect polyphenol composition, particularly for ellagitannins, sanguiin H-6, anthocyanins and quercetin.[9]
 Distribution and habitat Cloudberries are a circumpolar boreal plant, occurring naturally throughout the Northern Hemisphere from 78°N, south to about 55°N, and are scattered south to 44°N mainly in mountainous areas and moorlands.[6] In Europe, they grow in the Nordic countries, but are rare in the Baltic states (Estonia, Latvia, and Lithuania) and Poland.[6] They are present in the English Pennines and the Scottish Highlands, while a single, fragile site exists in the Sperrin Mountains of Northern Ireland.[11] They occur across northern Russia east towards the Pacific Ocean as far south as Japan in the island of Hokkaido.[6]
 In North America, cloudberries grow wild across Greenland, most of northern Canada, Alaska, northern Minnesota, New Hampshire, Maine, and New York.[6][12]
 Wide distribution occurs due to the excretion of the indigestible seeds by birds and mammals. Further distribution arises through its rhizomes, which are up to 10 m (33 ft) long and grow about 10–15 cm (4–6 in) below the soil surface, developing extensive and dense berry patches.[6] Cuttings of these taken in May or August are successful in producing a genetic clone of the parent plant.[13] The cloudberry grows in bogs, marshes, wet meadows, and tundra, and  at elevations of 1,400 m (4,600 ft) above sea level in Norway, requiring acidic ground (between 3.5 and 5.0 pH).[6]
 Ecology Cloudberry leaves are food for caterpillars of several Lepidoptera species. The moth Coleophora thulea has no other known food plants.[citation needed]
 Conservation Due to peatland drainage and peat exploitation, they are considered endangered[6] and are under legal protection in Germany's Weser and Elbe Valleys.[citation needed]
 Cultivation Despite great demand as a delicacy (particularly in Sweden, Norway, and Finland), the cloudberry is not widely cultivated and is primarily a wild plant. Wholesale prices vary widely based on the size of the yearly harvest, but cloudberries have gone for as little as €10/kg (in 2004).[14]
 Since the middle of the 1990s, however, the species has formed part of a multinational research project. Beginning in 2002, selected cultivars have been available to farmers, notably 'Apolto' (male), 'Fjellgull' (female), and 'Fjordgull' (female).[citation needed] Finnish self-pollinated 'Nyby' variety is monoecious, i.e. the female and male flowers are located in the same plant unit.[15] The cloudberry can be cultivated in Arctic areas where few other crops are possible, for example along the northern coast of Norway.[citation needed]
 Uses When ripe, cloudberry fruits are golden-yellow, soft, and juicy, and are rich in vitamin C.[6] When eaten fresh, cloudberries have a distinctive tart taste. When over-ripe, they have a creamy texture somewhat like yogurt and a sweet flavor.[16] They are often made into jams, juices, tarts, and liqueurs. In Finland, the berries are eaten with heated leipäjuusto (a local cheese; the name translates to ""bread-cheese""), as well as cream and sugar. In Sweden, cloudberries (hjortron, also known in northern Sweden as snattren)[17] and cloudberry jam are used as a topping for ice cream, pancakes, and waffles. Cloudberry filmjölk (soured milk) is available in supermarkets.[citation needed]
 In Norway, they are often mixed with whipped cream and sugar to be served as a dessert called multekrem (cloudberry cream), as a jam or as an ingredient in homemade ice cream. Cloudberry yoghurt—molte- or multeyoughurt—is a supermarket item in Norway.[18]
 In Newfoundland and Labrador, Canada, cloudberries are used to make ‘bakeapple pie’, jam, fruit wines, toppings for cheesecakes. They are also frequently included in flavourings for beer, herbal wines, ice cream, alcoholic cocktails, and kombucha. Arctic Yup'ik mix the berries with seal oil, reindeer or caribou fat (which is diced and made fluffy with seal oil) and sugar to make ""Eskimo ice cream"" or akutaq.[6] The recipes vary by region. Along the Yukon and Kuskokwim River areas, white fish (pike) along with shortening and sugar are used. The berries are an important traditional food resource for the Yup'ik.[citation needed]
 Due to its high vitamin C content,[6] the berry is valued both by Nordic seafarers and Northern indigenous peoples. Its polyphenol content, including flavonoid compounds such as ellagic acid, appears to naturally preserve food preparations of the berries.[6] Cloudberries can be preserved in their own juice without added sugar, if stored cool.[19]
 Extract of cloudberries is also used in cosmetics such as shower gels, hand creams' and body lotions.[citation needed]
 Alcoholic drinks In Nordic countries, traditional liqueurs such as lakkalikööri (Finland) are made of cloudberry,[20] having a strong taste and high sugar content. Cloudberry is used as a flavouring for making akvavit. In northeastern Quebec, a cloudberry liqueur known as chicoutai (Innu-aimun name) is made.[21] In Newfoundland and Labrador, cloudberries (called “bakeapples”) are used to make fruit wine, bitters, or are brewed into beer.
 Polyphenol extracts from cloudberries have improved storage properties when microencapsulated using maltodextrin DE5-8.[22] At least 14 volatile compounds, including vanillin, account for the aroma of cloudberries.[23]
 Harvesting on public property In some northern European countries such as Norway, a common-use policy on non-wood forest products allows anyone to pick cloudberries on public property and eat them on location, but only local residents may transport them from that location.[24][25][26] Transporting ripe cloudberries from the harvest location is permitted in many counties.[24]
 Harvesting unripe cloudberries in Norway was illegal between 1970 and 2004.[27][28] Many people believe that it is still illegal to harvest unripe cloudberries in Norway, but that law is no longer in effect.[28]
 In culture The cloudberry appears on the Finnish version of the 2 euro coin.[29] The name of the hill Beinn nan Oighreag in Breadalbane in the Scottish Highlands means ""Hill of the Cloudberries"" in Scottish Gaelic.[30] Transactions of Camden's Britain (1637 edition) indicate the etymological origins of 'cloud-berry', the plant's name in old Lancashire dialect: 'Pendelhill [in Lancashire] advenceth itselfe up the skie ... and in the very top thereof bringeth forth a peculiar plant which, as though it came out of the clowdes, they tearme clowdes-berry'.[31] In Norrland cloudberries are known as Norrland's gold.[32]
 
In Newfoundland and Labrador, several communities, including Garnish and Forteau, host festivals celebrating the harvest of cloudberries.
 References Further reading External links"
1,floradanica_0002.tif,Pedicularis lapponica L.,Scrophulariaceae,https://en.wikipedia.org/wiki/Pedicularis_lapponica,"Contents Pedicularis lapponica 
 Pedicularis lapponica,  the Lapland lousewort, is a perennial hemiparasitic species of flowering plant in the family Orobanchaceae with yellow to creme coloured flowers.[1]
 Description The plant has an unbranched (or very rarely branched) stem of 10–25 cm tall which grows from a creeping rootstock with long slender rhizomes.[2] No rosette is present. Stem leaves are narrow, elongated, and compound with toothed sections, the lower on long petioles. The  inflorescence is capitate. The corolla is up to 2 centimeters long and is usually milk white.[3] It is surrounded by toothed sepals. The fruit is a flat, beaked capsule 8–13 millimetres (0.31–0.51 in) long.
 Compared to P. lanata, P. lapponica has a breeding system with a lower capacity for outcrossing in West Greenland (Disko) and less morphological variation.
 It is perennial (in some cases biennial).
 Distribution Pedicularis lapponica is widely distributed on the northern hemisphere in the arctic and boreal zone.[4]
 In Greenland it is found in West Greenland between 62°N and 72°30’N and in East Greenland between 69°N and Bessel Fjord, 75°58'N.[5]
 Habitat and ecology Pedicularis lapponica is hemiparasitic on a number of host species.[6] It is found in arctic to alpine tundras, heathlands, moist hummocky tundras, and dwarf shrub heath.
 References"
2,floradanica_0003.tif,Linnaea borealis L. ssp. borealis,Caprifoliaceae,https://en.wikipedia.org/wiki/Linnaea_borealis,"Contents Linnaea 
 Linnaea borealis is a species of flowering plant in the family Caprifoliaceae (the honeysuckle family). It is the only species in the genus Linnaea.[1] It is a boreal to subarctic woodland subshrub, commonly known as twinflower (sometimes written twin flower).
 This plant was a favourite of Carl Linnaeus, founder of the modern system of binomial nomenclature, after whom the genus was named.
 Description The perennial stems of Linnaea borealis are slender, pubescent, and prostrate, growing to 20–40 centimetres (8–15+1⁄2 inches) long, with opposite evergreen rounded oval leaves 3–10 millimetres (1⁄8–3⁄8 in) long and 2–7 mm (1⁄16–1⁄4 in) broad. The flowering stems curve erect, to 4–8 cm (1+1⁄2–3+1⁄4 in) tall, and are leafless except at the base. The flowers are paired, pendulous, 7–12 mm (1⁄4–1⁄2 in) long, with a five-lobed, pale pink corolla.[3][4]
 L. borealis is self-incompatible, requiring cross-pollination to produce viable seeds; since pollen dispersal is usually not far, individuals and clonal colonies can become reproductively isolated.[5] Regardless of seed production, Linnaea plants in a particular area often spread by stolons to form clonal patches of the same genotype.
 Taxonomy Linnaea borealis was first formally described by Carl Linnaeus in 1753 in Species Plantarum.[6] It was the sole species in the genus Linnaea. The genus name had been used earlier by the Dutch botanist Jan Frederik Gronovius, and was given in honour of Linnaeus. Linnaeus adopted the name because Linnaea borealis was his favourite plant.[7]
 Linnaea borealis is considered to be a single circumboreal species, with three generally recognized subspecies:
 The English name ""twinflower"" for Linnaea borealis refers to the plant's paired flowers. 
 In 2013 Christenhusz et al. concluded that the genus Abelia, as then circumscribed, was polyphyletic, and proposed merging Abelia and several other genera in tribe Linnaeeae into Linnaea.[7] Wang, Landrein, et al. proposed reorganizing the tribe into several new and existing genera, and keeping Linnaea a monotypic genus.[8] The circumscription proposed by Wang, Landrein, et al. is currently accepted by Plants of the World Online.[1][9]
 Distribution and habitat Linnaea borealis has a circumpolar distribution in moist subarctic, boreal, or cool temperate forests, extending further south at higher elevations in various mountains, in Europe south to the Alps, in Asia south to northern Japan, and in North America south to northern California and to Arizona and New Mexico in the west, and to West Virginia (and formerly Tennessee) in the Appalachian Mountains in the east.[10][11]
 Clonal stands of Linnaea can be long-persisting, in some places remaining extant even if seed is not produced or if seedling germination or establishment does not occur.
 The species was presumably common in areas south of its present range during times of Pleistocene (""Ice Age"") glaciations, and its clone-forming perennial growth habit has allowed it to survive the subsequent millennia locally within this former range in various high-elevation or otherwise cool and moist habitats, including algific talus slopes with persisting underground periglacial ice.
 Conservation While the three subspecies of L. borealis are all considered widespread, abundant, and secure in their main, northern ranges, all three subspecies are of conservation concern near the subspecies' range edges or at more southerly, disjunct sites.
 In Great Britain, L. borealis ssp. borealis is listed as ""nationally scarce"", growing mainly in open pine woodlands in Scotland and northernmost England. Foresters consider this plant to be an indicator species of ancient woodlands, often found in association with creeping lady's tresses. It is found in about 50 sites around the country, with most situated in the woods around the Cairngorms; the southernmost locations are four sites in Northumberland and one in County Durham. The sparseness of the sites is responsible for the continued decline of the plant in the country. In Scotland, 37% of L. borealis patches studied consisted of a single genotype, reproducing clonally vegetatively but not producing viable seed. This is a conservation concern because, without viable seed, the species may not be able to re-populate restored habitat, and may not be able to adapt to climate change by establishing new populations.[5]
 In the United States, L. borealis ssp. americana is of conservation concern in several states along or near the southern edge of the species' range, including Arizona, Iowa, Massachusetts, North Dakota, Pennsylvania, and West Virginia, and was known historically but now considered extirpated or possibly so in Illinois, Indiana, New Jersey, Ohio, Rhode Island, and Tennessee.
 In Canada, Linnaea borealis ssp. longiflora is considered of conservation significance in the Yukon Territory, along the eastern edge of its range, where ssp. americana is widespread and abundant.
 Since many of the outlying southern sites for Linnaea borealis are in habitats that are at high elevations or otherwise in cooler microclimates than the surrounding general landscapes, ongoing and prospective climate change has become a significant concern for the conservation of this species in such places, such as Ice Mountain in West Virginia, a low-elevation algific talus slope with persisting buried ice.
 In culture Linnaeus took L. borealis as his own personal symbol when he was raised to the Swedish nobility in 1757. In his Critica Botanica (1737), Linnaeus had used Gronovius' name Linnaea as an example to advocate the use of commemorative personal names as botanical names:
 it is commonly believed that the name of a plant which is derived from that of a botanist shows no connection between the two...[but]...Linnaea was named by the celebrated Gronovius and is a plant of Lapland, lowly, insignificant, disregarded, flowering but for a brief space — after Linnaeus who resembles it.[12][13] The flower of Linnaea borealis is the provincial flower of Småland,[14] the home province of Linnaeus.
 References External links"
3,floradanica_0004.tif,Silene rupestris L.,Caryophyllaceae,https://en.wikipedia.org/wiki/Silene_rupestris,"Contents Atocion rupestre 
 Atocion rupestre, the rock campion, is a plant species of the genus Atocion, native to Europe.[2]
 References 
 This Caryophyllaceae article is a stub. You can help Wikipedia by expanding it."
4,floradanica_0005.tif,Cornus suecica L.,Cornaceae,https://en.wikipedia.org/wiki/Cornus_suecica,"Contents Cornus suecica 
 Cornus suecica, the dwarf cornel or bunchberry, is a species of flowering plant in the dogwood family Cornaceae, native to cool temperate and subarctic regions of Europe, Asia, and North America.
 Description Dwarf cornel is a rhizomatous herbaceous perennial growing to 20 cm (8 inches) tall, with few pairs of sessile cauline leaves in opposite pairs, 2–4 cm (3⁄4–1+1⁄2 inches) long and 1–3 cm (1⁄2–1+1⁄4 inches) broad, with 3-5 veins from the base.[2] The flowers are small, dark purple, produced in a tight umbel that is surrounded by four conspicuous white petal-like bracts 1–1.5 cm (3⁄8–5⁄8 inch) long. The fruit is a red berry.
 Habitat and range Cornus suecica is a plant of heaths, moorland and mountains, often growing beneath taller species such as heather (Calluna vulgaris).[3][2] Its range is nearly circumboreal, but it is absent from the continental centres of Asia and North America.[citation needed] In North America, the species is found in Alaska (U.S.) and British Columbia (Canada), and also eastern Canada (Labrador, New Brunswick, Newfoundland, Nova Scotia, and Quebec), as well as Greenland, but not in the intervening region.[4][1]
 Where Cornus canadensis, a forest species, and Cornus suecica, a heath or bog species, grow near each other in their overlapping ranges in Alaska, Labrador, Finland and Greenland, they can hybridize by cross-pollination, producing plants with intermediate characteristics.[5]
 Taxonomy Cornus suecica is included in the subgenus Arctocrania.[6]
 References External links"
5,floradanica_0006.tif,Cerastium alpinum L. ssp. alpinum,Caryophyllaceae,https://en.wikipedia.org/wiki/Cerastium_alpinum,"Contents Cerastium alpinum 
 Cerastium alpinum, commonly called alpine mouse-ear[1] or alpine chickweed, is a mat-forming perennial plant. The species was first described by Carl Linnaeus in  1753. It is native to Greenland, Canada and northern Europe.[2] It is grown as a rock garden subject for its many small white flowers and silver haired stems and foliage. There are three subspecies.
 References 
 This Caryophyllaceae article is a stub. You can help Wikipedia by expanding it."
6,floradanica_0007.tif,Androsace septentrionale L.,Primulaceae,https://en.wikipedia.org/wiki/Androsace_septentrionale,"Androsace septentrionale Other reasons this message may be displayed:
"
7,floradanica_0008.tif,Moneses uniflora (L.) A.Gray,Pyrolaceae,https://en.wikipedia.org/wiki/Moneses_uniflora,"Contents Moneses 
 Moneses uniflora, the one-flowered wintergreen (British Isles),[2] single delight, wax-flower,[3] shy maiden, star of Bethlehem (Aleutians)[4], St. Olaf's candlestick (Norway), wood nymph, or frog's reading lamp,[5] is a plant of the family of  Ericaceae, that is indigenous to moist coniferous forests in temperate regions of the Northern Hemisphere from Spain to Japan and across North America. It is the sole member of genus Moneses.
 Taxonomy The genus Moneses originates from the Greek work moses, which translates to 'solitary,' and hesia, meaning 'delight,' referencing the single flower which blooms on the plant.[6] The plant is also referred to as wood nymph, referencing a nature goddess figure in Greek mythology that lived in forests and resembled beautiful women.[6]
 Description and range Moneses uniflora is a small plant, typically no taller than 10 cm tall.[6] A perennial herb with a slender rhizome, the leaves are basal or low, oval-elliptic to obovate, from 10 to 30 mm in diameter, with small teeth. The petiole is shorter than the leaf diameter. Each stem terminates in a nodding, fragrant flower on a stem from 30 to 170 mm high. The corolla has a diameter of 15 to 25 mm. The spreading five white petals are slightly rumpled and are said to resemble an open white umbrella.[6] The sepals are oval, separate and white-greenish. The flower has ten anthers, a noticeable style, and a distinctive five-pronged stigma.[6] Flowering occurs from May to October.[7]
 Moneses uniflora has floral features (like poricidal anthers and small apical pores) consistent with flowers that reproduce through buzz pollination.[8] The single delight's nodding flower and anther's small apical pores allow for bees in flight to sonicate mid-flight, releasing and transferring pollen between flowers.[8] Although attractive to bees, the flower produces no nectar, and reproduces through seed.[9]
 The plant grows in moist forest environments in the holartic realm[10] and is commonly found across North America and Eurasia.[11] The plant flourishes in coniferous forest conditions in cooler temperatures,[7] and is often found growing on moss and rotting plant material.[11]
 Use in Indigenous cultures Moneses uniflora has long and significant histories with several Indigenous nations across North America.
 The Haida people harvested Moneses uniflora in July then dried it. The flower and fruit-producing parts of the plant were removed, while the vegetative parts were boiled into a tea,[12] sometimes with licorice fern and Labrador tea.[11] The tea was used to soothe colds, the flu, smallpox and cancer. The Haida people also drank it for power and luck.[12] In one Haida story,[13] (the ""Copper Salmon""), the gambling son of a chief is sent to the forest to consume medicine; first devil's club, then Moneses uniflora or in the Haida language, xiláawg[14]. Consuming these plants cleanses his intestines and gives him the power to stop his behaviour.
 The Makah people also boiled Moneses uniflora with Labrador tea and licorice fern, using the entire plant to soothe coughs.[12] They also used the plant to draw blisters.[15]
 The Kwakwaka'wakw people have used Moneses uniflora in poultices for swelling and pain, as it causes blisters.[12] The blisters would be opened with broken mussel shells and smeared with catfish oil.[15] When the loose skin peeled off, the site would be washed with gooseberry root extract and covered with plantain leaves until healed.[15]
 Applications in Science Several First Nations within North America have indicated Moneses uniflora as a traditional medicine for tuberculosis.[7] Some scientific studies have explored the antifungal/viral/biotic properties of single delight flower extracts, and found that aerial parts from Moneses uniflora have inhibited growth against M. tuberculosis and M. avium mycobacteria.[7][16]
 References External links"
8,floradanica_0009.tif,Loiseleuria procumbens (L.) Desv.,Ericaceae,https://en.wikipedia.org/wiki/Loiseleuria_procumbens,"Contents Kalmia procumbens 
 Azalea procumbens L.
Chamaecistus procumbens (L.) Kuntze
Loiseleuria procumbens (L.) Desv.
 Kalmia procumbens, commonly known as alpine azalea[1] or trailing azalea,[2] is a dwarf shrub of high mountain regions of the Northern Hemisphere that usually grows no more than 10 centimeters (4 in) tall. Originally named by Linnaeus as Azalea procumbens, it is also named after French botanist L.L.A. Loiseleur-Deslongchamps - Loiseleuria procumbens.
 Distribution Kalmia procumbens is not well known though it is widely distributed. These plants are common in the subarctic regions and high mountains of the northern hemisphere.  In North America it reaches the southern limit of its range in the mountains of Maine, New Hampshire, New York, and Washington. It is easy to propagate.[citation needed]
 Habitat and ecology Kalmia procumbens prefers alpine or subalpine, rocky exposed habitat. It grows above treeline with mountain heathers and at lower elevations in bogs.[citation needed]
 It is a known host to the microfungus Delphinella polyspora, which grows on its pedicels and fruit.[3]
 Morphology Individuals of this species are shrubs grown for two to five rose-pink flowers. Its leaves are opposite and its evergreen leaves are leathery blades to 8mm long and have incised margin. Edges are rolled under green on the top and white with dense short hairs underneath.
 Flowers and fruit Flowers of Kalmia procumbens are bell shaped and five lobed, and have five stamens. The flowering time is late spring and summer.
 References Notes"
9,floradanica_0010.tif,Cassiope hypnoides (L.) D. Don,Ericaceae,https://en.wikipedia.org/wiki/Cassiope_hypnoides,"Contents Harrimanella 
 Harrimanella is a genus of flowering plant in the heath family Ericaceae, with a single species, Harrimanella hypnoides, also known as moss bell heather or moss heather.[1]
 H. hypnoides is a cold hardy dicot perennial that produces moss-like cushions, about 5 centimetres (2 inches) high, often of prostrate stems with ascending shoot tips. The leaves are scale-like, looking like those of a moss. Borne singly on short reddish pedicels, the bell-shaped flowers are conspicuous and white with five fused petals and five sepals. The fruit is an erect capsule.
 It was originally named Cassiope hypnoides by Carl Linnaeus in his Flora Lapponica (1737), but Harrimanella hypnoides is now the accepted name at Integrated Taxonomic Information System. The specific epithet hypnoides means 'like Hypnum', a genus of mosses.
 It can be found growing on rock crevices in the Canadian arctic, Quebec, the Northeastern United States, Greenland,[2] Iceland, the mountains of Norway, Sweden and Finland, Svalbard and arctic Russia, including the Ural Mountains.[3]
 References External links  Media related to Harrimanella at Wikimedia Commons
 
 This Ericaceae article is a stub. You can help Wikipedia by expanding it."
